,지번주소,adr_dong,번지,전용면적(㎡),총세대수,총동수,room,bath,traffic_label,학교시설,편의시설
390,경기도 고양시 화정동 870 ,화정동,870,132.23,2032 ,38,4,2,2.0,4,6
391,경기도 고양시 화정동 870 ,화정동,870,132.23,2032 ,38,4,2,2.0,4,6
392,경기도 고양시 화정동 870 ,화정동,870,132.23,2032 ,38,4,2,2.0,4,6
393,경기도 고양시 화정동 870 ,화정동,870,132.23,2032 ,38,4,2,2.0,4,6
394,경기도 고양시 화정동 870 ,화정동,870,135.54,2032 ,38,4,2,2.0,4,6
395,경기도 고양시 화정동 870 ,화정동,870,132.23,2032 ,38,4,2,2.0,4,6
396,경기도 고양시 화정동 870 ,화정동,870,161.98,2032 ,38,5,2,2.0,4,6
397,경기도 고양시 화정동 870 ,화정동,870,161.98,2032 ,38,5,2,2.0,4,6
398,경기도 고양시 화정동 870 ,화정동,870,161.98,2032 ,38,5,2,2.0,4,6
399,경기도 고양시 화정동 936 ,화정동,936,102.48,1320 ,19,4,2,2.0,4,5
400,경기도 고양시 화정동 936 ,화정동,936,132.23,1320 ,19,4,2,2.0,4,5
401,경기도 고양시 화정동 936 ,화정동,936,132.23,1320 ,19,4,2,2.0,4,5
402,경기도 고양시 화정동 936 ,화정동,936,132.23,1320 ,19,4,2,2.0,4,5
403,경기도 고양시 화정동 961 ,화정동,961,49.59,1350 ,11,2,1,2.0,3,4
